customer_id,first_name,Email,loyalty_status,total_loyalty_points,last_purchase_date,segment_id,customer_phone,customer_since
1,Steven,fbell@example.net,Silver,1051,2025-03-28,Standard,6208777656740,2024-07-05
2,David,april68@example.com,Platinum,4503,2025-02-11,Standard,4462450104635,2022-01-14
3,Johnny,ljensen@example.com,Silver,2171,2025-02-15,Standard,0621703351917,2024-09-02
4,Erin,robert25@example.com,Platinum,1735,2025-02-19,Standard,8921074599383,2021-08-20
5,Jessica,benjaminwalton@example.com,Silver,2553,2025-06-23,Standard,4713415416137,2021-11-21
6,Dana,jessicahicks@example.org,Platinum,3059,2025-02-19,Standard,0416191154044,2024-12-13
7,Stephanie,sydneyrios@example.net,Platinum,4239,2025-06-24,Standard,3328736416630,2023-10-23
8,Brianna,upham@example.org,Platinum,991,2025-03-04,Standard,8953892286531,2025-02-16
9,Luke,fwright@example.net,Silver,1840,2025-05-12,Standard,5783332132899,2024-11-16
10,Natalie,jacqueline39@example.net,Bronze,2769,2025-05-14,Standard,7928019986945,2021-09-14
11,Carl,nbrown@example.net,Bronze,4819,2025-03-31,Standard,9601370971850,2024-04-02
12,David,pearsontodd@example.net,Silver,4820,2025-03-17,Standard,0418969801674,2024-08-28
13,Susan,ebarr@example.net,Silver,58,2025-04-01,Standard,0674995390651,2023-05-27
14,Alan,brian37@example.net,Bronze,482,2025-06-14,Standard,2715408874824,2022-03-25
15,Whitney,joshuamueller@example.com,Silver,552,2025-03-10,Standard,1941152269538,2022-03-01
16,Laura,walkerjerry@example.org,Bronze,2706,2025-04-22,Standard,7788669839094,2021-07-13
17,Savannah,thomasandrews@example.net,Bronze,4211,2025-06-09,Standard,2058232726289,2024-03-25
18,Sandra,carla17@example.net,Silver,2281,2025-04-13,Standard,4199994799694,2021-07-19
19,Raven,gregoryreese@example.com,Platinum,1755,2025-06-09,Standard,0596484193899,2021-12-24
20,Nicole,jennifer67@example.com,Silver,4677,2025-03-25,Standard,5224468752326,2021-10-24
21,Nancy,lee03@example.org,Platinum,1990,2025-05-27,Standard,3766824476438,2021-09-17
22,Amanda,stacey13@example.com,Platinum,3334,2025-05-31,Standard,1622152338218,2022-03-03
23,Gloria,wsmith@example.net,Silver,772,2025-05-14,Standard,4052221692078,2024-12-01
24,Richard,lcummings@example.net,Bronze,3531,2025-05-06,Standard,9360312285300,2025-03-27
25,Lori,wrightsandra@example.com,Gold,3469,2025-02-24,Standard,6446469964510,2024-01-23
26,James,amccormick@example.org,Platinum,3825,2025-02-13,Standard,3750507522665,2023-06-24
